,Количество комнат,Цена квартиры,Площадь,Район,Ссылка
0,1,2846000,27.1,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
1,1,2946000,27.1,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
2,1,3200000,30.8,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
3,1,3350000,35.45,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
4,1,3455000,34.95,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
5,1,3676000,37.25,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
6,1,3790000,40.85,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
7,1,3820000,41.15,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
8,1,3910000,42,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
9,1,3945000,42.5,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
10,1,4050000,43.65,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
11,1,4150000,43.05,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
12,1,4150000,43.05,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
13,2,4560000,52.25,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
14,2,4583000,52.5,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
15,1,4660000,53.25,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
16,2,4760000,55.75,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
17,2,4760000,55.75,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
18,1,4812000,57.2,Академический,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=Академический&prev_district=Академический&prev_stock=&price%5Bfrom%5D=420000&price%5Bto%5D=5990000&ploshchad%5Bfrom%5D=16.8&ploshchad%5Bto%5D=77.4
