,Количество комнат,Цена квартиры,Площадь,Район
0,1,2846000.0,27.1,Академический
1,1,2946000.0,27.1,Академический
2,1,3200000.0,30.8,Академический
3,1,3350000.0,35.45,Академический
4,1,3455000.0,34.95,Академический
5,1,3676000.0,37.25,Академический
6,1,3790000.0,40.85,Академический
7,1,3820000.0,41.15,Академический
8,1,3910000.0,42.0,Академический
9,1,3945000.0,42.5,Академический
10,1,4050000.0,43.65,Академический
11,1,4150000.0,43.05,Академический
12,1,4150000.0,43.05,Академический
13,2,4560000.0,52.25,Академический
14,2,4583000.0,52.5,Академический
15,1,4660000.0,53.25,Академический
16,2,4700000.0,62.2,Академический
17,2,4760000.0,55.75,Академический
18,2,4760000.0,55.75,Академический
19,1,4812000.0,57.2,Академический
20,2,4860000.0,58.9,Академический
21,2,4925000.0,59.7,Академический
22,2,5050000.0,62.5,Академический
23,3,5540000.0,69.9,Академический
24,3,5540000.0,69.9,Академический
25,3,5730000.0,72.3,Академический
26,3,5850000.0,74.05,Академический
27,3,5990000.0,77.4,Академический
28,1,3081195.0,29.77,Верх-Исетский
29,1,3160920.0,29.68,Верх-Исетский
30,1,3168000.0,31.68,Верх-Исетский
31,1,3284135.0,28.19,Верх-Исетский
32,1,3417570.0,33.02,Верх-Исетский
33,1,3820285.0,35.21,Верх-Исетский
34,1,3950960.0,37.99,Верх-Исетский
35,1,4026960.0,39.48,Верх-Исетский
36,1,4038450.0,37.05,Верх-Исетский
37,1,4093220.0,39.74,Верх-Исетский
38,1,4177460.0,39.41,Верх-Исетский
39,2,4821795.0,51.57,Верх-Исетский
40,2,5138880.0,53.53,Верх-Исетский
41,2,5224680.0,56.79,Верх-Исетский
42,2,5371475.0,58.07,Верх-Исетский
43,2,5536125.0,59.85,Верх-Исетский
44,2,5546480.0,62.32,Верх-Исетский
45,2,5547595.0,58.09,Верх-Исетский
46,2,5702040.0,60.66,Верх-Исетский
47,2,5737160.0,61.36,Верх-Исетский
48,2,5787180.0,61.24,Верх-Исетский
49,2,6084650.0,65.78,Верх-Исетский
50,2,6419560.0,63.56,Верх-Исетский
51,3,6598560.0,74.56,Верх-Исетский
52,3,6744465.0,71.37,Верх-Исетский
53,3,6767560.0,76.04,Верх-Исетский
54,3,7022785.0,75.11,Верх-Исетский
55,3,14800000.0,123.0,Верх-Исетский
56,3,16700000.0,140.5,Верх-Исетский
57,1,7796626.0,40.34,Верх-Исетский
58,1,8123585.0,45.63,Верх-Исетский
59,1,8255138.0,45.63,Верх-Исетский
60,2,9914400.0,61.91,Верх-Исетский
61,2,10071811.0,68.56,Верх-Исетский
62,2,10338720.0,60.77,Верх-Исетский
63,2,10359069.0,61.31,Верх-Исетский
64,2,11063928.0,66.97,Верх-Исетский
65,2,11879940.0,76.86,Верх-Исетский
66,3,12500932.0,84.53,Верх-Исетский
67,3,13005257.0,82.49,Верх-Исетский
68,3,14240393.0,101.99,Верх-Исетский
69,3,15809811.0,97.81,Верх-Исетский
70,2,6185597.0,55.8,Октябрьский
71,1,4678683.0,33.3,Октябрьский
72,1,5786166.0,41.7,Октябрьский
73,2,6335973.0,56.6,Октябрьский
74,1,5462535.0,39.0,Октябрьский
75,1,5752453.0,39.8,Октябрьский
76,2,7389415.0,56.4,Октябрьский
77,1,5679946.0,42.4,Октябрьский
78,3,8684248.0,92.0,Октябрьский
79,1,4790877.0,39.0,Октябрьский
80,2,7749900.0,60.0,Октябрьский
81,2,6356618.0,56.4,Октябрьский
82,1,4812132.0,39.0,Октябрьский
83,2,6366820.0,56.6,Октябрьский
84,3,8790108.0,92.8,Октябрьский
85,1,4742219.0,35.4,Октябрьский
86,1,5656838.0,42.4,Октябрьский
87,Ст,3266555.0,19.6,Октябрьский
88,1,4806760.0,42.4,Октябрьский
89,2,7113427.0,52.8,Октябрьский
90,2,5753020.0,52.0,Октябрьский
91,1,4854642.0,39.0,Октябрьский
92,1,5170524.0,35.4,Октябрьский
93,3,9727160.0,92.0,Октябрьский
94,2,7576023.0,56.6,Октябрьский
95,Ст,3264419.0,19.6,Октябрьский
96,1,4920412.0,36.2,Октябрьский
97,2,6664260.0,60.0,Октябрьский
98,2,6387356.0,56.4,Октябрьский
99,2,6387356.0,56.4,Октябрьский
100,1,5055485.0,40.9,Октябрьский
101,1,5231651.0,42.4,Октябрьский
102,2,6795932.0,52.0,Октябрьский
103,1,5908890.0,41.7,Октябрьский
104,1,4671576.0,39.0,Октябрьский
105,1,5596757.0,42.4,Октябрьский
106,Ст,3221691.0,19.6,Октябрьский
107,3,9123910.0,92.8,Октябрьский
108,2,6455852.0,52.0,Октябрьский
109,2,5258592.0,55.8,Октябрьский
110,1,4649645.0,33.3,Октябрьский
111,2,6846944.0,52.0,Октябрьский
112,2,6846944.0,52.0,Октябрьский
113,1,5745259.0,41.7,Октябрьский
114,Ст,3277237.0,19.6,Октябрьский
115,2,6631560.0,60.0,Октябрьский
116,1,4084078.0,33.3,Октябрьский
117,Ст,3537878.0,19.6,Октябрьский
118,3,8333544.0,92.0,Октябрьский
119,3,8632647.0,73.4,Октябрьский
120,1,5151623.0,36.3,Железнодорожный
121,2,6518407.0,56.9,Железнодорожный
122,3,7967355.0,88.6,Железнодорожный
123,Ст,3547884.0,21.4,Железнодорожный
124,3,8211231.0,87.8,Железнодорожный
125,1,4537691.0,32.6,Железнодорожный
126,3,8153810.0,87.8,Железнодорожный
127,2,6223267.0,58.2,Железнодорожный
128,2,5789731.0,50.3,Железнодорожный
129,3,7537873.0,85.8,Железнодорожный
130,2,6646580.0,61.1,Железнодорожный
131,2,5926373.0,53.2,Железнодорожный
132,2,5767277.0,50.2,Железнодорожный
133,1,5226877.0,39.5,Железнодорожный
134,2,6352171.0,56.8,Железнодорожный
